country,total_bookings,successful_bookings,avg_adr
PRT,48440,20946,92.27
GBR,12104,9655,96.09
FRA,10376,8448,109.83
ESP,8546,6373,117.16
DEU,7271,6056,104.45
ITA,3752,2424,114.17
IRL,3370,2540,98.21
BEL,2326,1855,114.08
BRA,2212,1388,111.25
NLD,2094,1712,108.2
USA,2085,1588,123.33
CHE,1717,1290,122.14
CN,1279,1025,108.69
AUT,1260,1032,106.26
SWE,1017,792,113.2
CHN,998,537,110.56
POL,915,702,107.27
ISR,668,500,110.71
RUS,626,390,119.01
NOR,606,426,121.69
ROU,497,365,115.25
UNKNOWN,478,421,61.75
FIN,444,375,104.36
DNK,430,325,117.86
AUS,426,319,116.78
AGO,362,157,117.12
LUX,285,176,132.37
MAR,256,149,135.31
TUR,247,146,112.28
HUN,228,153,113.49
ARG,213,160,117.96
JPN,197,169,121.24
CZE,171,134,111.34
IND,150,116,114.27
KOR,132,77,113.57
GRC,128,93,109.96
DZA,103,82,112.54
SRB,101,98,99.43
HRV,100,75,111.02
MEX,84,75,116.37
EST,83,65,114.07
IRN,82,59,128.5
LTU,81,74,100.27
ZAF,79,48,111.4
BGR,75,63,111.89
NZL,74,68,108.68
COL,71,48,121.2
UKR,68,48,93.24
MOZ,67,48,112.19
SVK,65,41,107.37
CHL,64,48,118.81
THA,58,40,118.15
ISL,57,53,111.57
SVN,56,41,118.5
LVA,55,46,96.0
CYP,51,40,98.63
TWN,51,37,126.38
ARE,50,8,136.58
SAU,47,15,124.91
PHL,40,15,154.36
TUN,39,20,106.41
SGP,38,22,96.2
IDN,35,11,116.63
NGA,34,13,115.13
URY,32,23,130.91
LBN,31,22,132.29
EGY,31,21,118.56
PER,29,23,121.78
HKG,29,3,128.13
MYS,28,25,83.5
ECU,27,19,129.05
VEN,26,14,106.71
BLR,25,16,103.7
CPV,24,12,91.7
GEO,22,7,169.02
JOR,20,17,99.03
KAZ,19,14,143.49
CRI,19,18,102.21
GIB,18,7,150.4
MLT,18,13,102.79
AZE,17,8,114.36
OMN,17,14,100.52
KWT,16,10,131.33
MAC,16,1,101.17
QAT,15,4,144.6
DOM,14,6,127.82
PAK,14,5,129.83
IRQ,14,14,106.96
BIH,13,10,110.77
ALB,12,10,84.35
PRI,12,10,84.21
MDV,12,3,124.12
BGD,12,3,149.8
SEN,11,3,126.06
CMR,10,10,88.33
MKD,10,8,83.95
BOL,10,10,115.0
TJK,9,1,137.23
PAN,9,9,110.16
GNB,9,8,83.16
ARM,8,6,99.99
CUB,8,8,99.37
VNM,8,6,123.27
JEY,8,0,139.25
LBY,8,8,92.75
AND,7,2,202.65
MUS,7,6,96.22
LKA,7,7,87.76
JAM,6,6,105.79
CIV,6,4,119.92
KEN,6,4,134.2
SUR,5,5,93.0
CAF,5,5,79.66
BHR,5,1,145.33
FRO,5,1,155.2
MNE,5,3,110.3
ZWE,4,2,85.31
UZB,4,2,96.99
GHA,4,2,126.45
GTM,4,4,75.0
PRY,4,4,112.6
GAB,4,2,143.38
MCO,4,3,85.74
BRB,4,4,95.0
TZA,4,2,82.56
SYR,3,3,98.33
GGY,3,0,100.27
ETH,3,2,101.26
TMP,3,2,139.07
LIE,3,2,102.27
BEN,3,0,123.2
COM,2,2,165.31
UGA,2,2,84.5
TGO,2,2,105.75
MWI,2,2,83.0
ZMB,2,1,101.88
SYC,2,1,132.13
ABW,2,2,128.34
KNA,2,2,92.2
STP,2,2,117.0
RWA,2,2,83.27
ATA,2,2,134.25
SLV,2,2,148.85
LAO,2,2,181.67
IMN,2,0,117.45
KHM,2,0,99.0
MYT,2,0,177.75
GLP,2,0,140.0
BHS,1,1,50.85
NPL,1,1,85.0
DJI,1,1,273.0
BDI,1,1,46.0
MDG,1,1,44.0
PLW,1,1,136.29
BWA,1,1,118.5
FJI,1,0,135.33
CYM,1,1,40.5
SMR,1,1,88.2
MRT,1,1,97.65
NCL,1,1,175.5
SLE,1,1,121.43
SDN,1,1,99.0
ASM,1,1,72.07
KIR,1,1,108.0
ATF,1,1,126.0
GUY,1,1,120.0
LCA,1,1,80.75
MLI,1,1,89.0
DMA,1,1,105.3
BFA,1,1,80.3
NAM,1,1,121.61
AIA,1,1,265.0
PYF,1,1,144.0
NIC,1,0,139.0
HND,1,0,79.0
VGB,1,0,100.5
UMI,1,0,200.0
MMR,1,1,145.0
