arrival_date_year,arrival_date_month,total_bookings,canceled_bookings,successful_bookings
2015,August,3879,1598,2281
2015,December,2904,969,1935
2015,July,2774,1259,1515
2015,November,2337,486,1851
2015,October,4949,1731,3218
2015,September,5109,2093,3016
2016,April,5417,2058,3359
2016,August,5030,1816,3214
2016,December,3832,1390,2442
2016,February,3871,1332,2539
2016,January,2238,555,1683
2016,July,4542,1489,3053
2016,June,5282,2094,3188
2016,March,4809,1472,3337
2016,May,5467,1913,3554
2016,November,4428,1629,2799
2016,October,6182,2513,3669
2016,September,5380,2015,3365
2017,April,5640,2452,3188
2017,August,4920,1812,3108
2017,February,4163,1355,2808
2017,January,3665,1247,2418
2017,July,5295,1979,3316
2017,June,5635,2437,3198
2017,March,4941,1665,3276
2017,May,6297,2756,3541
