arrival_date_year,arrival_date_month,total_estimated_revenue,avg_adr,avg_stay_nights
2015,August,1698507.34,106.19,3.7
2015,December,672024.76,74.31,3.04
2015,July,1146861.53,97.9,3.87
2015,November,462971.38,60.66,3.27
2015,October,1169790.34,79.01,3.06
2015,September,1666155.39,94.91,3.48
2016,April,1519881.8,88.98,3.19
2016,August,2889627.13,143.3,3.91
2016,December,1122435.22,86.72,3.37
2016,February,784715.65,70.22,2.87
2016,January,402738.09,64.93,2.74
2016,July,2303695.38,126.04,3.95
2016,June,1896288.84,107.04,3.42
2016,March,1224266.81,79.17,3.22
2016,May,1652040.81,96.4,3.21
2016,November,1133566.03,80.99,3.15
2016,October,1835134.59,95.23,3.18
2016,September,2059456.94,114.8,3.44
2017,April,2182297.72,111.55,3.53
2017,August,3347905.38,164.37,4.04
2017,February,1028397.38,76.99,3.17
2017,January,866647.7,73.93,3.1
2017,July,3128243.96,143.25,3.94
2017,June,2598435.49,125.91,3.72
2017,March,1408694.9,82.58,3.59
2017,May,2448787.09,119.5,3.34
